Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_39_166,VPWR,li1,82.3400,116.9600,1.798735
FILLER_39_158,VPWR,li1,80.0400,116.9600,1.798789
FILLER_39_146,VPWR,li1,75.4400,116.9600,1.798836
FILLER_39_134,VPWR,li1,69.9200,116.9600,1.798930
FILLER_39_122,VPWR,li1,64.4000,116.9600,1.798999
FILLER_39_113,VPWR,li1,57.7300,116.9600,1.799116
FILLER_39_111,VPWR,li1,56.8100,116.9600,1.799116
FILLER_39_101,VPWR,li1,52.4400,116.9600,1.799187
FILLER_39_93,VPWR,li1,50.1400,116.9600,1.799226
FILLER_39_69,VPWR,li1,37.9500,116.9600,1.799445
FILLER_39_57,VPWR,li1,34.5000,116.9600,1.799512
FILLER_39_53,VPWR,li1,30.5900,116.9600,1.799606
FILLER_39_45,VPWR,li1,28.0600,116.9600,1.799644
FILLER_39_35,VPWR,li1,22.0800,116.9600,1.799774
FILLER_39_27,VPWR,li1,19.7800,116.9600,1.799772
FILLER_39_15,VPWR,li1,13.3400,116.9600,1.799770
FILLER_39_3,VPWR,li1,9.6600,116.9600,1.799770
FILLER_38_301,VPWR,li1,144.2100,116.9600,1.798300
FILLER_38_280,VPWR,li1,134.5500,116.9600,1.798315
FILLER_38_274,VPWR,li1,132.9400,116.9600,1.798315
FILLER_38_262,VPWR,li1,128.8000,116.9600,1.798325
FILLER_38_253,VPWR,li1,122.3600,116.9600,1.798349
FILLER_38_251,VPWR,li1,121.2100,116.9600,1.798362
FILLER_38_247,VPWR,li1,120.0600,116.9600,1.798362
FILLER_38_239,VPWR,li1,115.6900,116.9600,1.798389
FILLER_38_231,VPWR,li1,113.6200,116.9600,1.798402
FILLER_38_223,VPWR,li1,108.5600,116.9600,1.798448
FILLER_38_211,VPWR,li1,105.3400,116.9600,1.798462
FILLER_38_195,VPWR,li1,95.4500,116.9600,1.798554
FILLER_38_169,VPWR,li1,83.4900,116.9600,1.798735
FILLER_38_165,VPWR,li1,82.3400,116.9600,1.798735
FILLER_38_153,VPWR,li1,78.6600,116.9600,1.798789
FILLER_38_141,VPWR,li1,73.1400,116.9600,1.798870
FILLER_38_136,VPWR,li1,69.0000,116.9600,1.798930
FILLER_38_93,VPWR,li1,50.1400,116.9600,1.799226
FILLER_38_80,VPWR,li1,43.2400,116.9600,1.799343
